code,modality,criterion_n,criterion_type,criterion_title,extraction_field,directive,seed_term,ontology,grounded_label,class_id,cui,concept_set,icd10_candidates,icd_source,needs_review,source_criterion
70450,CT,4,CLINICAL_INDICATION,Headache / Dizziness Pathway,neoplasm,"Find documentation of Neoplasm in the medical record. This can be represented in a variety of ways, examples include: Neoplasm, Neoplasms, Tumor, Tumors, Tumour, tumours, Oncology, neoplastic disease, neoplastic syndrome, new growth, Neoplasia, neoplasias, Neoplastic Growth, NG - Neoplastic growth, NG - New growth, Oncological abnormality, Neoplasms benign, malignant and unspecified, neoplasm - benign, malignant, unspecified, etc.",TUMOR,SNOMEDCT,Neoplasm,108369006,C0027651,"Neoplasm|Neoplasms|Tumor|Tumors|Tumour|tumours|Oncology|neoplastic disease|neoplastic syndrome|new growth|Neoplasia|neoplasias|Neoplastic Growth|NG - Neoplastic growth|NG - New growth|Oncological abnormality|Neoplasms benign, malignant and unspecified|neoplasm - benign, malignant, unspecified",D49,umls_atoms,no,Headache / Dizziness Pathway
70450,CT,4,CLINICAL_INDICATION,Headache / Dizziness Pathway,aneurysm,"Find documentation of Aneurysm in the medical record. This can be represented in a variety of ways, examples include: Aneurysm, Aneurysms, Aneurysm of unspecified site, Aneurysmal dilatation, Vascular dilatation, Aneurysm - lesion, Wider than typical opening or gap, etc.",ANEURYSM,SNOMEDCT,Aneurysm,85659009,C0002940,Aneurysm|Aneurysms|Aneurysm of unspecified site|Aneurysmal dilatation|Vascular dilatation|Aneurysm - lesion|Wider than typical opening or gap,I72.9,umls_atoms,no,Headache / Dizziness Pathway
70450,CT,4,CLINICAL_INDICATION,Headache / Dizziness Pathway,arteriovenous_malformation,"Find documentation of Arteriovenous malformation in the medical record. This can be represented in a variety of ways, examples include: Arteriovenous malformation, Congenital arteriovenous malformation, Arteriovenous Malformations, Arteriovenous Malformation, Unspecified, AV - Congenital arteriovenous malformation, AVM - Congenital arteriovenous malformation, AV - Congenital arteriovenous anomaly, A-V malformation, a v malformations, a v malformation, Arteriovenous anomaly, anomalies arteriovenous, av malformation, av malformations, etc.",ARTERIOVENOUS MALFORMATION,SNOMEDCT,Arteriovenous malformation,24551003,C0003857,"Arteriovenous malformation|Congenital arteriovenous malformation|Arteriovenous Malformations|Arteriovenous Malformation, Unspecified|AV - Congenital arteriovenous malformation|AVM - Congenital arteriovenous malformation|AV - Congenital arteriovenous anomaly|A-V malformation|a v malformations|a v malformation|Arteriovenous anomaly|anomalies arteriovenous|av malformation|av malformations",Q25.72|Q27.3|Q27.30|Q27.34|Q27.39|Q28.0,bioportal_fuzzy_review,no,Headache / Dizziness Pathway
70450,CT,4,CLINICAL_INDICATION,Headache / Dizziness Pathway,duration_threshold,Find whether the record documents: greater than two weeks.,greater than two weeks,,,,,,,,no,Headache / Dizziness Pathway
70450,CT,4,CLINICAL_INDICATION,Headache / Dizziness Pathway,prior_treatment,Find whether the record documents: not responding to.,not responding to,,,,,,,,no,Headache / Dizziness Pathway
70450,CT,5,EXCLUSION,Cancer Staging Exclusion,malignant_neoplastic_disease,"Find documentation of Malignant neoplastic disease in the medical record. This can be represented in a variety of ways, examples include: Malignant neoplastic disease, Malignant Neoplasms, NEOPLASM MALIGNANT, Malignant neoplasm, Cancer, Cancers, ^Cancer, Malignancy, MALIGNANCIES, Malignant neoplasm without specification of site, Malignant tumor, Malignant tumour, malignant tumors, malignant tumours, Unclassified malignant tumor, Unclassified tumor, malignant, Unclassified tumour, malignant, Unclassified malignant tumour, neoplasm/cancer, Neoplastic disease, malignant, Blastoma, CA - Cancer, malignant tumoral disease, Malignant neoplasm morphology, etc.",CANCER,SNOMEDCT,Malignant neoplastic disease,363346000,C0006826,"Malignant neoplastic disease|Malignant Neoplasms|NEOPLASM MALIGNANT|Malignant neoplasm|Cancer|Cancers|^Cancer|Malignancy|MALIGNANCIES|Malignant neoplasm without specification of site|Malignant tumor|Malignant tumour|malignant tumors|malignant tumours|Unclassified malignant tumor|Unclassified tumor, malignant|Unclassified tumour, malignant|Unclassified malignant tumour|neoplasm/cancer|Neoplastic disease, malignant|Blastoma|CA - Cancer|malignant tumoral disease|Malignant neoplasm morphology",C80|C80.1,umls_atoms,no,Cancer Staging Exclusion
70450,CT,5,EXCLUSION,Cancer Staging Exclusion,malignant_neoplasm,"Find documentation of Malignant neoplasm in the medical record. This can be represented in a variety of ways, examples include: Malignant neoplasm, Malignant Neoplasms, NEOPLASM MALIGNANT, Cancer, Cancers, ^Cancer, Malignancy, MALIGNANCIES, Malignant neoplasm without specification of site, Malignant tumor, Malignant tumour, malignant tumors, malignant tumours, Unclassified malignant tumor, Unclassified tumor, malignant, Unclassified tumour, malignant, Unclassified malignant tumour, neoplasm/cancer, Malignant neoplastic disease, Neoplastic disease, malignant, Blastoma, CA - Cancer, malignant tumoral disease, Malignant neoplasm morphology, etc.",MALIGNANCY,SNOMEDCT,Malignant neoplasm,1240414004,C0006826,"Malignant neoplasm|Malignant Neoplasms|NEOPLASM MALIGNANT|Cancer|Cancers|^Cancer|Malignancy|MALIGNANCIES|Malignant neoplasm without specification of site|Malignant tumor|Malignant tumour|malignant tumors|malignant tumours|Unclassified malignant tumor|Unclassified tumor, malignant|Unclassified tumour, malignant|Unclassified malignant tumour|neoplasm/cancer|Malignant neoplastic disease|Neoplastic disease, malignant|Blastoma|CA - Cancer|malignant tumoral disease|Malignant neoplasm morphology",C80|C80.1,umls_atoms,no,Cancer Staging Exclusion
70450,CT,5,EXCLUSION,Cancer Staging Exclusion,carcinoma,"Find documentation of Carcinoma in the medical record. This can be represented in a variety of ways, examples include: Carcinoma, Carcinomas, Epithelial Tumors, Malignant, Epithelial tumor, malignant, Malignant Epithelial Tumor, Malignant Epithelial Tumors, Malignant epithelial tumour, Epithelial tumour, malignant, Epithelioma, Epitheliomas, Malignant Epithelioma, Epithelial Neoplasms, Malignant, Malignant Epithelial Neoplasms, Epithelial Neoplasm, Malignant, Malignant Epithelial Neoplasm, Epithelial Carcinoma, etc.",CARCINOMA,SNOMEDCT,Carcinoma,1187425009,C0007097,"Carcinoma|Carcinomas|Epithelial Tumors, Malignant|Epithelial tumor, malignant|Malignant Epithelial Tumor|Malignant Epithelial Tumors|Malignant epithelial tumour|Epithelial tumour, malignant|Epithelioma|Epitheliomas|Malignant Epithelioma|Epithelial Neoplasms, Malignant|Malignant Epithelial Neoplasms|Epithelial Neoplasm, Malignant|Malignant Epithelial Neoplasm|Epithelial Carcinoma",C22.0|C22.1|C4A|C4A.9|C7B.1|D09.9,bioportal_fuzzy_review,no,Cancer Staging Exclusion
70450,CT,5,EXCLUSION,Cancer Staging Exclusion,esophageal_structure,"Find documentation of Esophageal structure in the medical record. This can be represented in a variety of ways, examples include: Esophageal structure, Esophagus, Oesophagus, Oesophageal structure, Gullet, Gastrointestinal Tract, Esophagus, Structure of oesophagus, Structure of esophagus, etc.",ESOPHAGUS,SNOMEDCT,Esophageal structure,32849002,C0014876,"Esophageal structure|Esophagus|Oesophagus|Oesophageal structure|Gullet|Gastrointestinal Tract, Esophagus|Structure of oesophagus|Structure of esophagus",K22.1|K22.3|K22.4|K22.7|T18.12|T28.1,bioportal_fuzzy_review,no,Cancer Staging Exclusion
70450,CT,5,EXCLUSION,Cancer Staging Exclusion,prostate,"Find documentation of Prostate in the medical record. This can be represented in a variety of ways, examples include: Prostate, Prostates, Prostatic, Prostato-, Prostatic Gland, Prostatic gland structure, Prostata, Prostatic structure, Prostate gland, Genital System, Male, Prostate, etc.",PROSTATE,SNOMEDCT,Prostate,41216001,C0033572,"Prostate|Prostates|Prostatic|Prostato-|Prostatic Gland|Prostatic gland structure|Prostata|Prostatic structure|Prostate gland|Genital System, Male, Prostate",A18.14|N41.2|N42.0|N42.3|N42.83|S37.822,bioportal_fuzzy_review,no,Cancer Staging Exclusion
70450,CT,5,EXCLUSION,Cancer Staging Exclusion,malignant_neoplasm_of_skin,"Find documentation of Malignant neoplasm of skin in the medical record. This can be represented in a variety of ways, examples include: Malignant neoplasm of skin, SKIN NEOPLASM MALIGNANT, Malignant neoplasms of skin, malignant neoplasm skin, Skin Neoplasm, Malignant, Malignant skin neoplasm, Skin malignant neoplasm, Malignant Neoplasm of the Skin, Cancer of Skin, skin cancer, cancer of the skin, cancer skin, cancers skin, of skin cancer, of the skin cancer, Skin--Cancer, skin cancers, Skin neoplasms malignant and unspecified, Malignant neoplasm of skin, unspecified, Malignant Skin Tumor, Malignant tumor of skin, Malignant tumour of skin, Malignant Tumor of the Skin, CA - Skin cancer, Skin cancer, nonmelanomatous, Skin Cancer, Including Melanoma, Melanoma and Non-Melanoma Skin Cancer, malignant neosplasm of the skin, etc.",SKIN CANCER,SNOMEDCT,Malignant neoplasm of skin,372130007,C0007114,"Malignant neoplasm of skin|SKIN NEOPLASM MALIGNANT|Malignant neoplasms of skin|malignant neoplasm skin|Skin Neoplasm, Malignant|Malignant skin neoplasm|Skin malignant neoplasm|Malignant Neoplasm of the Skin|Cancer of Skin|skin cancer|cancer of the skin|cancer skin|cancers skin|of skin cancer|of the skin cancer|Skin--Cancer|skin cancers|Skin neoplasms malignant and unspecified|Malignant neoplasm of skin, unspecified|Malignant Skin Tumor|Malignant tumor of skin|Malignant tumour of skin|Malignant Tumor of the Skin|CA - Skin cancer|Skin cancer, nonmelanomatous|Skin Cancer, Including Melanoma|Melanoma and Non-Melanoma Skin Cancer|malignant neosplasm of the skin",C44.9,umls_atoms,no,Cancer Staging Exclusion
70450,CT,5,EXCLUSION,Cancer Staging Exclusion,brain_structure,"Find documentation of Brain structure in the medical record. This can be represented in a variety of ways, examples include: Brain structure, Brain, brains, Encephalon, Structure of brain, Cerebral, human brain, suprasegmental levels of nervous system, suprasegmental structures, vertebrate brain, etc.",BRAIN,SNOMEDCT,Brain structure,12738006,C0006104,Brain structure|Brain|brains|Encephalon|Structure of brain|Cerebral|human brain|suprasegmental levels of nervous system|suprasegmental structures|vertebrate brain,A06.6|A54.82|B43.1|G93.5|G93.82|R94.02,bioportal_fuzzy_review,no,Cancer Staging Exclusion
